Name=Spaceship
TileSet=spacestation32
TileSetSize=8,8
TileSize=32,32
MapSize=16,11
Layout:
32,57,57,57,57,57,49,28,28,42,57,57,57,57,57,35
40,38,37,37,37,37,37,61,62,36,37,37,37,37,37,40
40,04,05,05,05,05,05,05,05,05,05,05,05,05,06,40
40,12,00,00,00,00,00,00,00,00,00,00,00,00,14,40
40,12,00,08,00,00,00,00,00,34,00,00,00,00,14,40
40,12,00,00,00,00,00,00,00,37,00,00,00,00,14,40
40,12,00,00,00,00,00,00,00,00,00,00,00,00,14,40
40,12,00,00,00,00,00,00,00,00,00,00,00,00,14,40
40,12,00,00,00,00,00,00,00,00,00,00,00,00,14,40
40,12,00,00,00,00,00,00,00,00,00,00,00,00,14,40
56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,59
